"ingredient_id","name","portion","quantity","unit"
"5af2c152ae08b51b804e58be",Ciabatta aux olives,pièce,100.0,g
"5c865506e3f33953c57bce32",Ciabatta blanche,pièce,100.0,g
"5c8bcda7e3f339735a76c464",Ciabatta complète,pièce,100.0,g
"5c0e2cbce3f33937c643dfa2",Ciabatta grise,pièce,100.0,g
"64073bbedf6297bb5beef120",Ciabatta grise aux graines de tournesol,pièce,100.0,g
"5af2be97ae08b5194415a373",Ciabatta grise aux graines de tournesol,pièce,100.0,g
"5af2c14fae08b51b804e58b5",Ciboule,pièce,30.0,g
"5dde798296ae8413041df142",Ciboulette,tige,1.0,g
"5dde798296ae8413041df142",Ciboulette,tête,20.0,g
"6405bf3caf4af6d531d50ad3",Ciboulette,sachet,20.0,g
"6405c011af4af6d531d50dcd",Citron,pièce,100.0,g
"5c950d77c445fa28926e8832",Citron jaune,pièce,100.0,g
"6405bf30af4af6d531d50aac",Citron vert,pièce,70.0,g
"5af2be6cae08b5194415a2cf",Citron vert,pièce,70.0,g
"6405bf52b0da19477798620d",Citronnelle fraîche,pièce,10.0,g
"5c950d7cc445fa288372a893",Citronnelle fraîche,pièce,10.0,g
"5af2c14fae08b51b804e58b6",Citronnelle moulue,pièce,1.0,g
"6405bf5daf4af6d531d50b71",Citronnelle moulue,sachet,40.0,g
"5ba8a96430006c3c441c9ff2",Colin mariné,pièce,200.0,g
"5c8bcda5e3f33973013052b4",Concentré de tomates,boîte,140.0,g
"6405bfefb9d07cd5d38d7c59",Concentré de tomates,pot,140.0,g
"5c8bcda5e3f33973013052b4",Concentré de tomates,tube,140.0,g
"5c8bcda5e3f33973013052b4",Concentré de tomates,pièce,140.0,g
"5e4a42ab179521032f127c34",Concombre,pièce,200.0,g
"6405c000af4af6d531d50d96",Concombre,pièce,200.0,g
"648905f30635a1e9befbb436",Confit de canard,pièce,120.0,g
"5b928b59ae08b5536f17e522",Confit de canard,pièce,120.0,g
"6405bf8baf4af6d531d50c00",Confit de canard,pièce,120.0,g
"5af2c164ae08b51b804e58fb",Confit de pintade,pièce,120.0,g
"64073e6f683721c9a32b088d",Confiture de figues,pot,30.0,g
"5d9d97a76f3ff25eb7598b4e",Confiture de fraises,pièce,30.0,g
"64132d2d6b23cefedf01c8cf",Confiture de fraises,pot,30.0,g
"64073bc1683721c9a32b0757",Confiture de fraises,pot,30.0,g
"6405bf88b9d07cd5d38d7b06",Contre-filet de bœuf,pièce,200.0,g
"6438256b184668ed677d9e31",Coppa di Parma,tranche,30.0,g
"6405bf35af4af6d531d50ab8",Coriandre,sachet,20.0,g
"5af2be42ae08b5194415a237",Coriandre,brin,1.0,g
"5af2be42ae08b5194415a237",Coriandre,pièce,20.0,g
"5af2be42ae08b5194415a237",Coriandre,botte,20.0,g
"6405bf71b0da194777986281",Coriandre et basilic thaï,sachet,20.0,g
"6405bf45b9d07cd5d38d7a09",Coriandre et menthe,sachet,20.0,g
"5c8bcdace3f339730507bc43",Coriandre moulue,sachet,10.0,g
"6405bfc0b0da194777986389",Coriandre moulue,sachet,10.0,g
"64073ba9683721c9a32b0738",Courge butternut,pièce,700.0,g
"6405bf25af4af6d531d50a75",Courge butternut,pièce,700.0,g
"5af2be61ae08b5194415a2a6",Courge butternut,pièce,700.0,g
"5af2be85ae08b5194415a33a",Courge Hokkaido,pièce,700.0,g
"6405bfbeaf4af6d531d50cb9",Courge Kabocha,pièce,700.0,g
"64073c1a683721c9a32b07af",Courge spaghetti tranchée,pièce,300.0,g
"6405bf8bb9d07cd5d38d7b0c",Courgette,pièce,200.0,g
"5af2be53ae08b5194415a272",Courgette,pièce,200.0,g
"5af2be0bae08b5194415a174",Courgette blanche,pièce,200.0,g
"5af2bea6ae08b5194415a3a4",Courgette jaune,pièce,200.0,g
"5d9d97a21354614ba164bdb3",Courgette ronde,pièce,200.0,g
"5beeea4130006c19492ac425",Crème de basilic,tube,50.0,g
"5af2bde9ae08b5194415a0e0",Crème de cuisson,paquet,200.0,ml
"64073ba5683721c9a32b0730",Crème épaisse,pot,200.0,g
"5af2bdecae08b5194415a0f0",Crème fraîche,sac,200.0,g
"5af2bdecae08b5194415a0f0",Crème fraîche,paquet,200.0,g
"5ea2c7d68dee423f3a615ca6",Crème liquide,paquet,200.0,ml
"5ea2c7d68dee423f3a615ca6",Crème liquide,pièce,200.0,ml
"6405bfd0b0da1947779863bf",Cresson,pièce,50.0,g
"5af2be29ae08b5194415a1dc",Cresson,pièce,50.0,g
"5af2be2dae08b5194415a1e5",Cresson de roquette,tube,50.0,g
"5af2be2dae08b5194415a1e5",Cresson de roquette,sac,100.0,g
"63e51235a0a0603e5708dcc8",Cube de bouillon de bœuf,pièce,10.0,g
"5e1f0277cc6609041441227e",Cube de bouillon de bœuf,pièce,10.0,g
"5c8bcd9de3f33973480ec963",Cube de bouillon de légumes,mg,10.0,g
"63e5122081b4b295e66f0256",Cube de bouillon de légumes,pièce,10.0,g
"5c8bcd9de3f33973480ec963",Cube de bouillon de légumes,pièce,10.0,g
"5af2be25ae08b5194415a1cc",Cube de bouillon de poisson,pièce,10.0,g
"63e51213a0a0603e5708dcbc",Cube de bouillon de poisson,pièce,10.0,g
"5e4cf7fc389bc238c3507fce",Cube de bouillon de volaille,pièce,10.0,g
"63e5120ebc1d64f7b96e26ff",Cube de bouillon de volaille,pièce,10.0,g
"6405bf70b9d07cd5d38d7aab",Cube de tomate à l'ail et oignon,paquet,400.0,g
"5bc9de6330006c594864b1c2",Cubes de tomates à l'oignon,paquet,400.0,g
"5bc9de6330006c594864b1c2",Cubes de tomates à l'oignon,boîte,400.0,g
"6405bf5ab9d07cd5d38d7a62",Cubes de tomates au basilic,paquet,400.0,g
"6405bff4af4af6d531d50d5b",Cuisse de poulet,pièce,120.0,g
"6405bf67b0da194777986258",Cuisse de poulet,pièce,120.0,g
"5af2c162ae08b51b804e58f3",Cuisse de poulet,pièce,120.0,g
"5b3f7996ae08b5535d162163",Cuisse de poulet confite,pièce,120.0,g
"6405bfd5b0da1947779863d3",Cuisse de poulet confite,pièce,120.0,g
"6405bf18b9d07cd5d38d7962",Cuisses de poulet,pièce,120.0,g
"6405bf7daf4af6d531d50bdd",Cumin en poudre,sachet,10.0,g
"5c950d77c445fa28926e8833",Curcuma en poudre,cm,5.0,g
"6405bf8bb9d07cd5d38d7b0d",Curcuma en poudre,sachet,10.0,g
"6405bf7ab9d07cd5d38d7ad4",Curcuma frais,cm,5.0,g
"64073bb59c6d10cd16eab62e",Curry en poudre,sachet,10.0,g
"5af2c14aae08b51b804e58ab",Curry en poudre,sachet,10.0,g
"6405bf29af4af6d531d50a90",Curry jaune,sachet,10.0,g
"6405bf7aaf4af6d531d50bd6",Curry rouge,sachet,10.0,g
"6405c013b0da19477798649e",Curry vert,sachet,10.0,g
"64073bcc9c6d10cd16eab649",Demi-baguette,pièce,125.0,g
"64e38514a2c417189e0da947",Demi-baguette,pièce,125.0,g
"5af2c16bae08b51b804e5912",Demi-baguette,pièce,125.0,g
"6405bfd9b0da1947779863dc",Dés de filet de porc,pièce,200.0,g
