"id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"9332bf50-f5c0-4328-b853-260a8aa2c719",Dragée amande,"",,17.2,1.39,73.9,71.9,0.0,5.0,0.17,1
"54190271-c735-4b23-998f-2783fbd601aa","Porc, carré, cuit","",206.0,7.45,3.03,0.6,0.0,0.0,34.1,0.097,1
d20a36bc-a35a-4148-8c31-5e386370a510,"Épinard, cru","",,0.5,0.064,2.25,0.32,2.37,2.62,0.17,1
d2722f95-28ff-4b36-b0f0-2377fa3064cd,"Pomme, pulpe, bouillie/cuite à l'eau","",,0.36,0.058,11.2,11.0,2.4,0.26,0.0025,1
"3cf2f9a2-0c7c-4d8d-a183-d60f466c88b3",Pâte à pizza crue,"",240.0,3.45,0.25,44.2,1.4,2.2,7.05,1.31,1
"6e9337a5-1128-456d-a00b-4d46d1527428",Farine d'orge,"",339.0,2.3,0.43,64.5,0.8,8.85,10.6,0.0081,1
bfb43ba1-495d-48b6-a2f5-254c6badf29b,"Pâte brisée, pur beurre, crue","",384.0,19.5,13.1,44.9,3.23,1.88,6.33,1.49,1
"6027cb5c-dd09-4266-b4fd-cd167d44f119",Flocon d'avoine,"",367.0,6.51,1.13,57.9,0.97,10.2,14.2,0.014,1
"1a019d2f-7c90-4ba3-965e-7c54f51e206c",Farine de blé tendre ou froment avec levure incorporée,"",350.0,1.0,0.5,74.0,2.5,2.5,10.0,,1
"322ca624-db1a-4b09-afb3-3b949c2fede0",Farine de blé tendre ou froment T80,"",355.0,1.18,0.17,73.2,1.77,4.2,10.9,,1
"474cdebc-ddbb-4312-91ec-a834dc5e54db","Pâte sablée, cuite","",505.0,24.6,11.8,64.4,22.9,1.5,5.7,0.27,1
"559f0971-f214-40fb-b381-4f9c7f2e9829","Pâte sablée, crue","",404.0,19.6,9.94,51.0,13.0,1.2,5.3,0.25,1
