"id","id_old","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
cad356c2-a5bd-4ee0-9bdd-1576c07f0176,"6405bf6bb9d07cd5d38d7a9d",Bâtonnets de poivron,Hello Fresh,36.6,0.5,0.01,5.98,4.8,3.2,1.06,0.013,1
"386c8b04-9934-43c8-b7c8-17fc1c5703bf","6405bf97af4af6d531d50c29",Bavette de bœuf,Hello Fresh,133.0,5.67,2.2,0.0,0.0,0.0,20.4,0.085,1
"6dcfb3ce-97c2-4e9c-9717-a85b75783897","644c60f3e915ac78ee7c6776",Bavette de bœuf,Hello Fresh,133.0,5.67,2.2,0.0,0.0,0.0,20.4,0.085,1
e98c42ba-ec97-4e6d-9bcc-4bc99a723b64,"64073bd4683721c9a32b076e",Bavette de bœuf,Hello Fresh,133.0,5.67,2.2,0.0,0.0,0.0,20.4,0.085,1
cf398785-2690-4615-8d03-7f586a503adb,"64073c1fdf6297bb5beef183",Fève de soja,Hello Fresh,,1.53,0.25,33.3,5.7,25.0,26.1,0.033,1
"0c3db9b1-5d68-48fa-ad08-8a0272ee31b1","5cfa73a3d8a871000b700302",Filet d'églefin,Hello Fresh,72.3,0.35,0.098,0.0,0.0,0.0,17.3,0.16,1
"02997f3e-b9e0-4fad-a735-f90d3abd13c1","64073bbf683721c9a32b0756",Filet d'églefin sans peau,Hello Fresh,72.3,0.35,0.098,0.0,0.0,0.0,17.3,0.16,1
"4520855f-2632-4876-bb5f-d3818719363d","5cdea5d0bfc591000c342572",Filet de cabillaud,Hello Fresh,77.6,0.57,0.1,0.0,0.0,0.2,18.1,0.23,1
"27ba42ea-bd98-4627-9839-99bb2ec6e44b","5b928b3fae08b553974324f2",Alpro Cuisine,Hello Fresh,,14.7,1.65,2.03,1.6,,3.25,0.063,2
"287f63b7-5af7-44e1-b6f1-f5c7adbb4f00","5c794afee3f3396cd34fd752",Filet de cabillaud (100 g),Hello Fresh,77.6,0.57,0.1,0.0,0.0,0.2,18.1,0.23,1
"2673ad6a-d50e-4363-a7d8-d31278b39d59","64073baadf6297bb5beef101",Filet de cabillaud sans peau,Hello Fresh,77.6,0.57,0.1,0.0,0.0,0.2,18.1,0.23,1
"7d878d3f-66e0-43d4-bbfd-6d0bd6c9794c","6405bf5db0da19477798622d",Filet de cabillaud sans peau,Hello Fresh,77.6,0.57,0.1,0.0,0.0,0.2,18.1,0.23,1
b065934d-3924-4333-ab03-69322f342ad7,"5af2be72ae08b5194415a2e3",Filet de cabillaud sans peau,Hello Fresh,77.6,0.57,0.1,0.0,0.0,0.2,18.1,0.23,1
"1ffe4acf-8a44-4991-b317-60cb8c627a3d","5d53dde30f071b001579bac7",Bavette de bœuf,Hello Fresh,133.0,5.67,2.2,0.0,0.0,0.0,20.4,0.085,1
f40b7bc4-2052-41be-bd5b-39adff987c09,"6405bf22b9d07cd5d38d798d",Bette à carde et laitue d'agneau,Hello Fresh,16.4,0.5,0.01,1.63,1.2,1.8,1.0,0.57,1
cddd6a6f-758e-42dc-8e67-e9e060bb6010,"5dcd727bf283181a300ab129",Bette à carde et mâche,Hello Fresh,16.8,0.5,0.01,0.5,0.0,2.3,2.0,0.013,1
"10202ca7-aba7-48a2-b8ce-1bbf5ab3bf02","5c8bcd9ce3f3397358648c95",Beurre,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
"50b05986-40c9-4736-a8c9-0f0b51b8247f","63e5122181b4b295e66f0258",Beurre,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
"6b9e4df0-3740-4ae7-9bb1-7526e2fb3a62","63e5121cbc1d64f7b96e2705",Beurre,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
b2477ba6-8a0b-403b-a683-f710f0345a99,"63e5121aa0a0603e5708dcbe",Beurre,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
"48b53d18-cafb-46e6-a1bc-cf645d580996","64073f089c6d10cd16eab7de",Beurre blanc,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
be1324fd-8fe0-4d08-9446-0dff7ea90eb6,"5af2be1eae08b5194415a1b2",Beurre doux non salé,Hello Fresh,753.0,82.9,55.4,0.9,0.83,0.0,0.69,0.063,1
"4fc9e668-a104-49a8-9687-e6c6cdb22d77","5df103706dbda93e6426e099",Bimi,Hello Fresh,,0.48,0.061,1.7,1.7,2.9,3.95,0.048,1
"509fad91-de7d-4e1d-8cba-8f8930c6700c","646419706ced9aa0d6353bfa",Blanc de poulet,Hello Fresh,110.0,1.5,0.44,0.0,0.0,0.0,23.4,0.11,1
c71deb08-c754-40ae-9c54-adf7e5f6bc62,"6405bf4ab9d07cd5d38d7a1e",Blanc de poulet,Hello Fresh,110.0,1.5,0.44,0.0,0.0,0.0,23.4,0.11,1
"1dcd8fed-0e1f-4789-8ea1-2421bdeacb99","6405bf73b9d07cd5d38d7aba",Blettes,Hello Fresh,16.4,0.5,0.01,1.63,1.2,1.8,1.0,0.57,1
"17a0a77b-1da4-443d-8e7e-02e9aa910f14","6405bfa3af4af6d531d50c5b",Bœuf haché assaisonné à l'italienne,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
"6ae51421-4ac2-4e7a-bce7-5844a9fdcb6f","6405bf6caf4af6d531d50ba1",Bœuf haché assaisonné aux épices kefta,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
"9d86c647-6220-4005-b401-06b120367743","5af2be9eae08b5194415a38a",Bœuf haché aux épices italiennes,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
"3c52901e-cc1f-4f82-988b-896dbf1c48c8","5ccc384e33df64001002f546",Boeuf haché aux épices orientales,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
cd3444f0-fa9f-4f36-9bf6-e81117149a7e,"6405c016b0da1947779864a7",Bœuf haché aux épices orientales,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
"783f5c5b-53bd-4504-a152-0f993c0a737e","5c8bcda9e3f339735561c2c2",Bœuf haché épicé,Hello Fresh,249.0,20.0,7.99,0.0,0.0,0.0,17.3,0.16,1
"00231746-9204-49ea-a688-c5db794e9b0d","6405bf8eb9d07cd5d38d7b12",Bœuf rendang,Hello Fresh,271.0,23.0,7.38,0.55,0.5,0.36,15.2,1.12,1
ae7e8cf7-a89e-42c1-ba1f-0ba71d376b41,"5daefe8604bd7446ff46d462",Bœuf rendang,Hello Fresh,271.0,23.0,7.38,0.55,0.5,0.36,15.2,1.12,1
d40178b6-63cf-4e07-bab6-91bb6b3e4639,"64073bf6df6297bb5beef169",Bouchées de blé panées,Hello Fresh,215.0,11.0,1.04,8.15,1.87,6.03,17.5,1.3,1
c300be08-ff89-421e-ab90-f6eed1903e74,"5af2be78ae08b5194415a2fc",Bouillon de champignons,Hello Fresh,5.58,0.13,0.083,0.5,0.18,0.0001,0.6,0.78,2
"27085112-0ad2-4942-a47a-a17082636fcf","63e51212a0a0603e5708dcba",Bouillon de poisson,Hello Fresh,5.58,0.13,0.083,0.5,0.18,0.0001,0.6,0.78,2
e6b49162-46a7-4538-92ca-a9b95a5bb970,"5be14d0930006c4bee2c1732",Bouillon de poulet,Hello Fresh,5.58,0.13,0.083,0.5,0.18,0.0001,0.6,0.78,2
"0672f35d-346e-4ac0-b941-709c5866d90b","6405bf72b0da194777986283",Boulettes de bœuf et de porc assaisonnées à l'espagnole,Hello Fresh,260.0,18.6,6.99,7.78,0.8,0.8,14.4,1.51,1
"9c7ee495-66fb-4db5-abb1-a6189ff6dc45","5cfa73b6d8a871000e5b1634",Boulettes de boeuf et de porc épicées à l'italienne,Hello Fresh,260.0,18.6,6.99,7.78,0.8,0.8,14.4,1.51,1
"6a81b5c1-0629-4132-b819-b31c208318a8","6405bffab9d07cd5d38d7c84",Boulettes de bœuf haché assaisonnées aux épices Kefta,Hello Fresh,265.0,19.2,8.14,0.14,0.0,0.0,23.0,0.19,1
"6f0ce166-cfc5-4072-8523-fc554dffb613","5af2bea5ae08b5194415a3a1",Boulettes de boeuf haché aux épices orientales,Hello Fresh,265.0,19.2,8.14,0.14,0.0,0.0,23.0,0.19,1
e946128e-2c28-473e-bbb2-2a511f725398,"5af2c171ae08b51b804e5924",Boulettes de boeuf haché épicé,Hello Fresh,265.0,19.2,8.14,0.14,0.0,0.0,23.0,0.19,1
e4174457-5ec0-49ee-aacd-9e0f95743076,"5ca75c96e3f339257c25ee72",Boulettes de poulet aux épices indonésiennes,Hello Fresh,137.0,5.68,1.88,3.5,1.4,0.63,17.7,1.3,1
c2627a86-e0af-496d-970e-7fa0d501ca68,"5c950d20e3f33950f837c012",Boulettes de poulet haché aux épices italiennes,Hello Fresh,137.0,5.68,1.88,3.5,1.4,0.63,17.7,1.3,1
