"food_id","user_id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id","image_url"
"49d26973-daa2-4d84-9e8c-3a59e4521c1f",,Confiture de cerise (extra ou classique),,,0.16,0.0,60.9,60.0,0.55,0.38,0.018,"4e427164-c134-4753-bd5b-e9ea22e67245",
"91fb6425-3708-4d75-aae1-eaa5b120a67e",,"Biscuit sec, avec matière grasse végétale",,,11.8,6.68,74.7,21.7,4.0,7.23,0.72,"4e427164-c134-4753-bd5b-e9ea22e67245",
cccb8177-cf68-4b28-a3b0-02dc6909027b,,Biscuit sec petit beurre,,,12.1,7.82,74.5,21.5,2.3,8.06,1.16,"4e427164-c134-4753-bd5b-e9ea22e67245",
b2abd243-7f93-4048-acab-2daea0096263,,Biscuit sec avec tablette de chocolat,,,24.1,15.1,63.3,36.8,2.65,6.62,0.61,"4e427164-c134-4753-bd5b-e9ea22e67245",
"1ada4a25-7a3d-44d9-9751-441eb599ef13",,"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",,,8.8,2.85,80.1,29.4,2.5,5.63,0.78,"4e427164-c134-4753-bd5b-e9ea22e67245",
a9b984ad-1851-4d04-9c38-e6bf4cdb1a3f,,Biscuit sec pour petit déjeuner,,,16.3,2.83,65.8,21.0,5.5,7.81,1.19,"4e427164-c134-4753-bd5b-e9ea22e67245",
e75a699f-e3ff-4d0a-b286-82ef4055b656,,"Biscuit sec pour petit déjeuner, allégé en sucres",,,16.0,4.4,66.3,20.2,6.33,7.68,0.68,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0925977c-faeb-483b-9465-eccc6034b8fa",,Biscuit sec fourré à la pâte ou purée de fruits,,,9.11,3.6,69.2,43.4,3.52,4.43,0.41,"4e427164-c134-4753-bd5b-e9ea22e67245",
"7ef3c249-4752-47de-b7c6-7f15113d9484",,Biscuit sec avec nappage chocolat,,,25.0,14.9,61.9,36.7,2.09,6.93,0.4,"4e427164-c134-4753-bd5b-e9ea22e67245",
"003869c2-6d49-4b38-b993-4d9a855182c7",,"Barre biscuitée fourrée aux fruits, allégée en matière grasse",,,7.12,2.64,75.7,41.9,3.0,3.32,0.42,"4e427164-c134-4753-bd5b-e9ea22e67245",
"64f22b2b-444b-44c7-81eb-e3cc9fd46e78",,"Biscuit sec pour petit déjeuner, au chocolat",,,16.6,8.75,69.7,29.8,2.8,6.5,0.95,"4e427164-c134-4753-bd5b-e9ea22e67245",
f7731682-61d5-4067-bb1b-96bb3e65a89c,,"Biscuit sec au beurre, sablé, galette ou palet",,,22.7,14.7,64.8,24.3,1.99,6.4,0.82,"4e427164-c134-4753-bd5b-e9ea22e67245",
e47eeb9f-8a09-4529-9b3d-2e6c91acfe5f,,"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",,,25.3,16.0,61.0,28.9,3.19,6.64,0.77,"4e427164-c134-4753-bd5b-e9ea22e67245",
e9811271-e266-42c2-88bf-f4b2d56ff174,,"Biscuit sec chocolaté, type barquette",,,22.8,3.03,60.9,43.1,2.41,7.39,0.4,"4e427164-c134-4753-bd5b-e9ea22e67245",
d0cac68d-7238-44c6-ad25-3395fe333e7a,,"Biscuit sec chocolaté, type tartelette",,,25.8,16.0,60.2,29.2,3.24,6.65,0.45,"4e427164-c134-4753-bd5b-e9ea22e67245",
"53472b8e-cd28-4f91-9657-93ff778bb907",,"Biscuit sec chocolaté, type galette",,,23.5,13.2,63.7,28.2,3.01,6.84,0.65,"4e427164-c134-4753-bd5b-e9ea22e67245",
"1f737447-598f-4a82-b3b7-0eee9b137bb1",,"Biscuit sec, sablé, galette ou palet, aux fruits",,,19.3,11.0,67.6,31.0,2.74,5.93,0.49,"4e427164-c134-4753-bd5b-e9ea22e67245",
"12a9d505-8ef0-440e-8018-d9bcaa093eae",,Sablé à la noix de coco,,,20.1,12.3,66.5,24.2,2.65,7.1,0.74,"4e427164-c134-4753-bd5b-e9ea22e67245",
f4ed12ab-e427-44f2-8864-6db38b7d4649,,"Sablé aux fruits (pomme, fruits rouges, etc.)",,,21.1,10.6,66.0,32.0,2.55,5.85,0.56,"4e427164-c134-4753-bd5b-e9ea22e67245",
"19ff30dd-f036-4c47-8f35-9cf6e095cb11",,"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",,,18.6,10.7,71.2,34.7,1.83,5.36,0.56,"4e427164-c134-4753-bd5b-e9ea22e67245",
"00415b97-e42b-49f7-b8c0-08ae800b5b88",,"Goûter sec fourré (""sandwiché"") parfum chocolat",,,18.0,9.92,67.9,29.8,3.77,6.7,0.62,"4e427164-c134-4753-bd5b-e9ea22e67245",
"51b7009a-8972-4c34-ade0-4f26f5e022a2",,"Goûter sec fourré (""sandwiché"") parfum fruits",,,17.4,9.68,73.3,31.6,3.35,6.64,0.5,"4e427164-c134-4753-bd5b-e9ea22e67245",
