"id","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_nom_fr","kcal","protein","carbohydrate","fat","sugars","fiber","saturated_fat","sodium","unit_id"
"62d5d75b-00c2-40b0-a2ea-cac8e4eaa877","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Potimarron, pulpe, bouilli/cuit à l'eau",38.2,1.06,6.88,0.3,3.5,1.8,0.08,0.013,1.0
"644a0fa7-2aab-46f8-89e3-482f4273c826","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Potiron, rôti/cuit au four",30.2,0.5,5.66,0.3,4.8,2.0,0.01,0.013,1.0
"86f16d73-f49b-44bb-b007-d3a58e46f303","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Salsifis, bouilli/cuit à l'eau",57.9,2.63,9.29,0.3,2.3,4.5,0.01,0.02,1.0
b848d844-c236-42d9-8a58-56f2ec8c5820,"fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Tomate, rôtie/cuite au four",25.3,1.0,3.53,0.4,3.1,1.9,0.11,0.013,1.0
"5ed80757-da3b-4a52-987f-9ffc4c328bfc","viandes, œufs, poissons et assimilés",viandes crues,autres viandes,"Cheval, tende de tranche, crue",106.0,22.7,0.0,1.68,,0.0,0.48,,1.0
c3ff3c4f-867a-46c1-8b33-7760ed614ad7,"viandes, œufs, poissons et assimilés",viandes crues,autres viandes,"Cheval, faux-filet, cru",121.0,22.2,0.0,3.58,,0.0,1.17,,1.0
afbbfa7c-a865-48c2-8632-5aecbde6f994,"viandes, œufs, poissons et assimilés",viandes crues,autres viandes,"Cheval, entrecôte, crue",118.0,22.1,0.0,3.34,,0.0,1.08,,1.0
a9a4fe90-9bf4-4cab-8b99-299f0f395f6b,aides culinaires et ingrédients divers,herbes,herbes séchées,"Ail séché, poudre",344.0,16.7,62.8,0.77,2.43,9.45,0.2,0.11,1.0
"736e3b04-e16a-4977-b0e8-40c53c5c4009",produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée,332.0,17.8,0.0,29.0,0.0,0.0,18.5,,1.0
"369443b8-4f9f-4d0a-a135-41d1e04616ef","viandes, œufs, poissons et assimilés",viandes cuites,agneau et mouton,"Agneau, collier, braisé ou bouilli",365.0,33.6,0.0,25.6,,0.0,,,1.0
"418fd0c8-404d-437c-990b-bb9d463d94d1","viandes, œufs, poissons et assimilés",viandes cuites,porc,"Porc, rôti, cuit",163.0,30.5,0.65,4.31,0.0,0.0,1.32,0.081,1.0
"6ce710be-f9f0-4bf3-bae8-bc8d85716d0d",produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse,150.0,25.2,0.0,5.5,,0.0,,,1.0
